system,conversation_id,customer_message,reply,groundedness,correctness,tone,helpfulness,overall_reason,status,error
Zero-shot Groq,436273,"Customer message 1: Order prime. But no delivery on time. Is it 8pm on the 7th already? #scam #moneymatters #customersdont #primeloser @115850 @AmazonHelp https://t.co/Mdzh4sW9sD

Customer message 2: @AmazonHelp That’s kinda the point. No data on there which could be an issue. Unless they can hack you using my order number

Customer message 3: @AmazonHelp Sorry to sound rude but been there and done that. Twice.","We’re sorry for the delay. Your order is still on its way and should arrive by the requested time. If it doesn’t arrive as expected, let us know and we’ll investigate further.",1.0,1.0,2.0,1.0,"The reply makes unfounded claims about the order's status without evidence, lacks specific guidance, and offers limited empathy.",success,
Zero-shot Groq,440270,"Customer message 1: @115850 Thanks amazon 4 looting me continually twice in a row. Attached is the pic of higg standard product delivered today https://t.co/2aKtGd078M

Customer message 2: @AmazonHelp I have been contacting u ppl, bt thr always hav been generic reply either it be my order 4 smartphn or ds RO. U ppl r looters

Customer message 3: @AmazonHelp Chk my order of RO and HTC phn from mail id __email__

Customer message 4: @AmazonHelp Already done,  no response. Seema u ppl r busy looting other pupil

Customer message 5: @AmazonHelp 1/3     @115850 https://t.co/GQvLJEXGDS

Customer message 6: @AmazonHelp 2/3 @115850 https://t.co/BrxYQAPdvs

Customer message 7: @AmazonHelp Anymore proof, u want?

Customer message 8: @AmazonHelp 3/3  @115850 https://t.co/7e5CvlNNds

Customer message 9: @AmazonHelp Already dropped all my details via this link as well as via mail __email__..  All mum No reply @1840 @12934 @115851

Customer message 10: @AmazonHelp When?  In coming new year? Busy looting other innocent customers or what? @115851 @12934 @1840

Customer message 11: @AmazonHelp Working on it? Similarly as u worked on my order in which u delivered faulty HTc phone?

Customer message 12: @AmazonHelp When? On d auspicious new year or what? Y u ppl quoted that ur reprsntv wl gt in touch within 6 hrs? It has been more than 20 hrs. No call https://t.co/upJW2XYxmk

Customer message 13: @AmazonHelp Do i look like an idiot with no brain and lot of spare time who is following up with u ppl despite of shari g details?

Customer message 14: @AmazonHelp Enclosed is the snap of my reply on the mail sent by you people https://t.co/ISDvTeXhxR

Customer message 15: @AmazonHelp Generic replies flooding again, the same reply which i received yesterday..

Customer message 16: @AmazonHelp Hurray I got ur valuable reply,  plz find the attached snap of reply.. #looteramazon https://t.co/QVYFF7IEPG

Customer message 17: @AmazonHelp Hw much more tym? Do u ppl need 2 consult @1840  on ds?

Customer message 18: @AmazonHelp Every time amazon expects customer 2 understand nd withstand wid u, requesting amazon 2 unstand cust mental state who goes thru al ds

Customer message 19: @AmazonHelp How many more days I have to wait 4 d so called verdict on my issue? @115851 @12934 @1840

Customer message 20: @AmazonHelp I did not get any fruitful or concluding reply yet, just wanted 2 know d expected tenure to close ds issue... @12934 @1840

Customer message 21: @AmazonHelp I replied on dat mail yesterday itself, bt no rply, can i get a call back from ur team or amazon want me 2 resolve ds via judiciary?

Customer message 22: @AmazonHelp I understand thr s issue in closing ds issue, so I would take it to legals for getting resolved. Thanks

Customer message 23: @AmazonHelp Ds s ur crm, no reply even after 2 followup mail.  @12934  @115851 https://t.co/NPrDI0zLh8

Customer message 24: @AmazonHelp I am not gonna stop, I would do any and everything 2 wxpose d fraudelents being done by amazon

Customer message 25: @AmazonHelp I have written 6 replies altogether on those mails, but no reply since yesterday...  Seems busy looting other innocents

Customer message 26: @AmazonHelp Plz find across the snap of my reply on the mail thread sent by you ppl https://t.co/lYJxzmlxCM

Customer message 27: @AmazonHelp Wat more detail u want me to fill here? I have filled these thrice, hw much more u would fool me wid ds generic replies? U looters, u cheats

Customer message 28: @AmazonHelp Yes i received an email and i replied thrice on that thread but no reply from u ppl.  Pf d attached snap as proof https://t.co/eW0MNSGc9F

Customer message 29: @AmazonHelp It has been 4 days,mwaiting 4 d reply.would u all plz and plz update me on the conclusion? Every tym same generic rply.Wl gt bk soon. Enough

Customer message 30: @AmazonHelp I wrote back my 4th reply on that mail, kindly check and revert back.

Customer message 31: @AmazonHelp Please specify, by what time I shall expect the final update on this issue?

Customer message 32: @AmazonHelp Are 12 hrs yet not over?

Customer message 33: @AmazonHelp I checked and revertwd back 13 grs back, what more?

Customer message 34: @AmazonHelp Heyy my stupid lord, how many times i need 2 say that i have wrote back on ur recentmost mail, 12 hrs back. What more?

Customer message 35: @AmazonHelp I have reaponded 2 dat mail sent by ur team.  Enclosing the scrnshot of my reply. https://t.co/l6U9aHpbDg

Customer message 36: @AmazonHelp I have checked and replied on that 13 hrs back.  What else?

Customer message 37: @AmazonHelp U ppl dont leave any option,dat s y i prvd my order details,and i would kp on posting d pic f scrap ro u ppl dlvrd,untl u resolve my issue

Customer message 38: @AmazonHelp Replied again on the thread, plz chk","We’re sorry to hear about your concerns. To protect your account and resolve this matter quickly, we’ll forward your case to our fraud and security team. They will review the details and contact you directly. Thank you for your patience.",2.0,2.0,4.0,2.0,"The response is empathetic but assumes fraud without evidence, invents a specific action not supported by the customer's messages, and offers limited actionable guidance.",success,
Zero-shot Groq,976790,"Customer message 1: @115850 
Learn to do business. Making false commitments and promises. When will I get my refund !!! 
@115851  @115821 https://t.co/e6u7dDxlha

Customer message 2: @AmazonHelp You already have my order details from the screenshots I provided... Go ahead and do your research and correct the issue

Customer message 3: @AmazonHelp You have my order details... Stop asking for details and provide solution

Customer message 4: @AmazonHelp Of course ..you are also from the much helpless Amazon customer service. Email I'd - __email__  order I'd 407-8822840-1015525

Customer message 5: @AmazonHelp Thanks to the Amazon social media escalation team . Could improve your experience if everyone works with responsibility.",We understand your frustration and apologize for the delay. Your refund request has been escalated to our finance team for immediate review. We will keep you updated on the status as soon as we have more information. Thank you for your patience.,2.0,2.0,4.0,3.0,"The reply is empathetic and professional but introduces unverified details (escalation to finance) not present in the customer's messages, reducing groundedness and correctness; it offers limited actionable guidance.",success,
Zero-shot Groq,1209858,"Customer message 1: @115850 refund still awaited,prdct bought in July17 and was promisd to get by 12Oct17 latest. gud dat I noticed the stmt &amp; found no credit

Customer message 2: @AmazonHelp raised the issue. got reply that refund already processed however I didn't receive any.

Customer message 3: @AmazonHelp  https://t.co/c2bqr8sRmg

Customer message 4: @AmazonHelp Refund expected dt 12 October 17

Customer message 5: @AmazonHelp Customer care mentions that refund is processed however can Amazon prove that refund is credited or processed, if not then why ask me?","Hi, I’m sorry you haven’t seen the refund yet. Please check your bank statement or credit card for the refund amount. If it still isn’t showing up, let me know and I’ll help you track it further.",2.0,2.0,4.0,2.0,"The reply is empathetic but offers generic advice already tried by the customer and does not provide any concrete next steps or verification, resulting in low groundedness, correctness, and helpfulness.",success,
Zero-shot Groq,2356803,"Customer message 1: @115830 appalling customer service.  My account locked for a week now and I keep getting told 24hrs and it will be fixed and it isn't!!

Customer message 2: @AmazonHelp I've heard absolutely nothing!

Customer message 3: @AmazonHelp Tried that and got absolutely nowhere

Customer message 4: @AmazonHelp My account still hasn't been sorted!

Customer message 5: @AmazonHelp Yes and got nowhere!

Customer message 6: @AmazonHelp It's getting ridiculous now

Customer message 7: @AmazonHelp No. Keep getting told they'll contact within 24hrs and 8 days later nothing!

Customer message 8: @AmazonHelp I still can't access my account....are you going to take this seriously?

Customer message 9: @AmazonHelp Yes checked folders and no reply. The fraudulent order was cancelled and I was told my account would be released. That was 8 days ago",We’re sorry for the inconvenience. Your case is being escalated to our account recovery team and you’ll receive a direct response shortly. Thank you for your patience.,4.0,4.0,5.0,3.0,"The reply is empathetic and professional, avoids false claims, and correctly escalates the issue, but offers limited actionable detail.",success,
Zero-shot Groq,1301259,"Customer message 1: I never thought I’d miss FedEx, but @115821 s carrier service is so awful that I long for the days of FedEx.

Customer message 2: @AmazonHelp Package scheduled to be delivered yesterday. Was moved to by Saturday with no explanation. It was out for delivery today, but 1/2

Customer message 3: @AmazonHelp Wasn’t delivered because of “my instructions to the carrier.” I did not provide any instructions.

Customer message 4: @AmazonHelp How hard is it to deliver a package?

Customer message 5: @AmazonHelp It was your carrier.

Customer message 6: @AmazonHelp Done.",We’re sorry to hear about the delivery experience. We’ll look into the carrier’s performance and keep you updated.,2.0,2.0,3.0,2.0,"The reply is generic and does not reference the specific complaints or provide concrete next steps, limiting its usefulness despite a polite tone.",success,
Zero-shot Groq,2513435,"Customer message 1: @115821 My order is cancelled by Amazon and at the time of order there was no delivery charges,Now I want the same product For zero charges https://t.co/ikWxy0oA3R","Sure, we can help you place a new order for the same product with free delivery. Please let us know if you’d like us to proceed or if you have any other preferences.",2.0,2.0,4.0,2.0,"The reply assumes the company can provide the product at zero cost, which is not verified, reducing groundedness and correctness; tone is polite but the suggested solution may not be feasible, limiting helpfulness.",success,
Zero-shot Groq,470068,"Customer message 1: @115830 haven’t even dispatched my Xenoblade Collectors yet and it’s due to arrive today...
Somehow I think im not getting it

Customer message 2: @AmazonHelp Hi. Yes it said 1st Dec by 8pm. I don’t mind as long as it comes as the price has doubled on Amazon itself

Customer message 3: @AmazonHelp Just been told that it’s not in stock and not to expect it in stock again. Absolute joke. Could have told me that prior to release date. Wasted a holiday to play snd now have to spend more as it’s st least £20 more elsewhere

Customer message 4: @AmazonHelp This is from your customer services https://t.co/7d55xNr3y5

Customer message 5: @AmazonHelp Looks like delayed till late next week. Dissatisfied but guess it’s a lesson to be learnt to just order from Shopto instead.",We’re looking into the status of your shipment and will update you shortly.,2.0,2.0,3.0,2.0,"The reply is overly generic and does not address the multiple specific concerns raised (delays, out‑of‑stock, price increase, reference to prior communication). It lacks concrete information, offers no actionable steps, and therefore scores low on groundedness, correctness, and helpfulness, though the tone is politely professional.",success,
Zero-shot Groq,961654,"Customer message 1: Massively disappointed by @115821 and their inability to follow through on promises to customers. Will have to cancel my prime-7yrs #amazon

Customer message 2: @AmazonHelp When I ordered my sons birthday gift I was promised a delivery date of 10/22, but now I am informed by an email that it won’t be until 10/23

Customer message 3: @AmazonHelp Not a valid reason. At this pot he customer help team as been so horrid, I am appalled

Customer message 4: @AmazonHelp They said it has but at this point I need to purchase something else as the order was a gift","I’m sorry to hear you’re considering canceling your Prime membership. I’ll forward your request to the Prime team so they can assist you further. If you’d like, I can also help you explore any available options or benefits that might address your concerns.",2.0,2.0,3.0,2.0,"The reply is generic and does not directly address any of the specific complaints about delayed delivery, poor customer service, or the need to replace a gift, resulting in limited relevance and actionable guidance.",success,
Zero-shot Groq,197728,"Customer message 1: @AmazonHelp trying to log in on the app &amp; on the normal website and keep getting this and a random email address keeps coming up on the app? https://t.co/IaCLLx9bJf

Customer message 2: @AmazonHelp No I haven’t x",We’re sorry to hear you’re having trouble logging in and seeing a random email address. This could be a sign of a security issue. Please contact our security team immediately at 1‑800‑XXX‑XXXX or use the “Help” button in the app to report the problem. We’ll investigate and help secure your account.,2.0,2.0,4.0,2.0,"The response is empathetic and polite, but it invents a placeholder phone number and lacks specific, verifiable guidance, reducing groundedness and correctness.",success,
Zero-shot Groq,1890609,"Customer message 1: Dear @115850 Someone has done a trnscn of Rs. 86,100 from my friend's 
(Manoj Singh) SBI card (#__credit_card__) on ""Amazon Pay India Priva Banglore"" on 25/11/17 @9150:07, i did not share any OTP to any one. OTP Time: 3:49 pm, kindly luk the matter seriously,Contact@9311092599",We’re sorry to hear about this. We’ve flagged your account for review and will investigate the transaction immediately. Please contact our fraud team at 9311092599 for urgent assistance. Thank you for bringing this to our attention.,4.0,4.0,4.0,4.0,"The reply stays factual, addresses the fraud concern, uses an empathetic and professional tone, and provides a clear actionable step.",success,
Zero-shot Groq,2596364,"Customer message 1: @115821 if i pay for one day shipping on a product and it doesnt get here when its supposed to, can i get a refund for paying the extra money for the one day shipping? #justasking

Customer message 2: @AmazonHelp Yes...it was supposed to be here today and im going out of town the rest of the weekend 🙃😧

Customer message 3: @AmazonHelp  https://t.co/FXilPsFcMu","Sure, if your one‑day shipping didn’t arrive on time you’re eligible for a refund of the extra shipping fee. Please let us know the order number and we’ll process it promptly.",5.0,5.0,5.0,5.0,"The reply accurately addresses the customer's question about a one‑day shipping refund, stays factual, uses a polite and empathetic tone, and gives a clear actionable step (provide order number).",success,
Zero-shot Groq,2864729,Customer message 1: MEU SENHOR DAS MOSCAS CHEGOU @117086 achei super eficiente dessa vez hein querida tá de parabéns,"Thank you for your feedback! We're glad to hear your order arrived efficiently. If you need anything else, just let us know!",4.0,4.0,5.0,4.0,"The reply accurately acknowledges the customer's positive feedback without adding any unfounded information, is appropriate for the situation, uses a friendly and professional tone, and offers a simple next step, though it could include a more specific invitation for further assistance.",success,
Zero-shot Groq,576001,"Customer message 1: I have gone twice to their service center...They are telling. That it might have occurred due to over charge, @3977 @115850 @132130 , it is not expected of you, big brands playing with our life. https://t.co/JG2BipLlbu","We’re sorry to hear about the overcharge concern. Please provide your order number and the amount you were charged, and we’ll investigate the issue promptly.",5.0,5.0,5.0,4.0,"The reply is empathetic, asks for needed details, and avoids unfounded statements, though it could offer more specific next steps.",success,
Zero-shot Groq,1194989,"Customer message 1: @AmazonHelp package is down as handed to resident.There were 4 of us in,nothing was delivered. Name of ""resident"" is unknown. Please advise.

Customer message 2: @AmazonHelp Link doesn't work for uk accounts.

Customer message 3: @AmazonHelp I've emailed via the app. Not easy to find info when things go wrong. Hopefully I'll get a refund or more info as to finding my order.",We’re sorry to hear the package was not received. Please let us know the tracking number and any details you have so we can investigate and resolve this for you.,1.0,1.0,2.0,1.0,"The reply is overly generic, only addresses one issue, lacks specific guidance for the multiple distinct problems, and misses needed details like tracking numbers or steps for link issues and refunds.",success,
Zero-shot Groq,2277411,"Customer message 1: @115850 regarding ORDER # 404-4264228-1344304. Please let me know why was this unilaterally canceled by Amazon a day before I was supposed to receive it and why was there a deduction before refunding my money???

Customer message 2: @AmazonHelp @115850 1. yesterday's email states due to delay in delivery which seems fictitious reason as the delivery date was supposed to be today (10th)  
2. Now that you decided that I dont deserve to be served, I expect 100% refund, why is there a deduction in refunded amount ????????

Customer message 3: @AmazonHelp i am more comfortable contacting you here. You are stealing my money. If you dont want to serve me thats fine there are many others who will  but i need the entire amount i paid back in my credit card not amazon wallet. Assist me here instead of delaying resolution

Customer message 4: @AmazonHelp @115850 dont tell me you dont have the technology to copy my order id from twitter and check on your platform. If you wish to help me kindly provide a resolution. If you dont care please dont bother replying here too.

Customer message 5: @AmazonHelp @115850 i am upset at the level of technology prowess and customer centricity shown","I’m sorry to hear about the confusion with your refund. I’ve escalated your request to our refund team, and they will review the deduction and ensure the correct amount is processed. We’ll keep you updated as soon as we have more information. Thank you for your patience.",2.0,2.0,4.0,2.0,"The reply is empathetic but overly generic, lacking specific reference to the order, cancellation reason, or refund method, and does not provide concrete next steps.",success,
Zero-shot Groq,570093,"Customer message 1: @AmazonHelp could you help me with an order I canceled that I haven’t received a refund for?

Customer message 2: @AmazonHelp I’m not sure ): it won’t even open any more, I tried ordering some water cases for friends in Puerto Rico and it never shipped so I canceled it. Not sure who was shipping it

Customer message 3: @AmazonHelp I’m guessing it’s nestle waters North America? https://t.co/LbbpcRnCMC","Sure, I can help you check the status of your refund. Please provide your order number so I can look it up for you.",4.0,4.0,4.0,3.0,"The reply is appropriate and empathetic, asking for needed info, but could address the multiple messages and clarify refund timeline for better usefulness.",success,
Zero-shot Groq,1102612,"Customer message 1: @118919 Anybody dealing with @115821.IN should be careful of some SURAT,Gujrat based sellers particularly one Jonejone_tiny!D Rougues

Customer message 2: @AmazonHelp Tks.Uraffiliate seller Jonejone_tiny has delivered wrng prdct agnst allgdly a canclld order!Sathish, Selvakumar,Tahseen, knw all","Thank you for bringing this to our attention. We will investigate the sellers mentioned and take appropriate action. If you have any further information or concerns, please let us know.",4.0,4.0,4.0,3.0,"The reply is appropriate and empathetic, avoids fabricating details, but offers limited actionable guidance.",success,
Zero-shot Groq,2967707,"Customer message 1: @AmazonHelp how do i make a complaint? i have prime and i was supposed to get a package yesterday but it never came and on the app it says it’s delivered to my house? it’s not here.

Customer message 2: @AmazonHelp @818683 But I've already talked to multiple customer service reps today. How will this be different???

Customer message 3: @AmazonHelp No one did anything except apologize and offer me a $10 credit. 😕

Customer message 4: @AmazonHelp I needed this shipment by the guaranteed delivery date (yesterday). Asking me to wait until Friday does nothing to solve the problem!",I’m sorry you haven’t received your order. I’ll forward this to our delivery team so they can locate the package and get it to you as soon as possible.,2.0,2.0,3.0,2.0,"The reply is generic and does not address the customer's repeated attempts, the promised delivery date, or offer a concrete resolution beyond forwarding to the delivery team, making it only modestly accurate and empathetic but not very helpful.",success,
Zero-shot Groq,756349,"Customer message 1: @132981 Cheating by amazon. No one is solving. Need help. Did shopping of 5 lac &amp; account blocked with no reason. No answer.

Customer message 2: @AmazonHelp I have reverted and shared what they requires. Also i have cancelled a big order whose status was also on hold by amazon

Customer message 3: @AmazonHelp No one is updating to me on this order so cancelled and placed on other sites..

Customer message 4: @AmazonHelp I have stayed for 3 days to confirm me status of order but no one is answering. Finally cancelled

Customer message 5: @AmazonHelp Rbl card not activated since last 8 days. Account locked so care people not helping. Wht to do. Replied on account lock .. no answer

Customer message 6: @AmazonHelp Sir i hv received auto mail to revert in 6 hr. But 4 days lapse. So when ur 6 hr will complete ???

Customer message 7: @AmazonHelp U know start finding ur mgt id so tht can escalate

Customer message 8: @AmazonHelp When ur 6 hr complete.. 4 days lapse. Fade up wd amazon and finding senior mgt id. Will start writing over them on twitter or social network

Customer message 9: @AmazonHelp U people r nlt sharing escalation matrix then what will do a common man. Is thr any fraud inveatigation functn ?

Customer message 10: @AmazonHelp When ur earliest will come. 4 days lapsed. No one is answering. 85k is stucked. What to do..no one is solving

Customer message 11: @AmazonHelp Why sd not worry.  I know this 85k will not loose but the purpose will defeat as time is passing.

Customer message 12: @AmazonHelp M not asking for refund but asking for solution or replacement of cards so that problem is solved

Customer message 13: @AmazonHelp Even one no one is called me till now for my problem . When m calling to care then they r raising hand bcoz account is lock

Customer message 14: @AmazonHelp Yes yesterday

Customer message 15: @AmazonHelp Already done. And every time they r writing 6 hr to reapond or call back. But nothing like that. This is a fraud company

Customer message 16: @AmazonHelp Sir searching contacts of ur senior mgt and if require will send them daily mail or message reminder. Hard money which is stucked by u

Customer message 17: @AmazonHelp Sending mail to amit and mr. Pillai

Customer message 18: @AmazonHelp Fraud by amazon. Y amazon is NOT RESOLVING a small matter since 4 dy. All putting on account team &amp; assuring for 6 hr since 4day

Customer message 19: @AmazonHelp When","We’re sorry to hear about the difficulties you’re experiencing. Your case has been escalated to our dedicated account security team, and they will reach out to you shortly to resolve the issue. Thank you for your patience.",2.0,2.0,3.0,2.0,"The reply is polite but makes an unverified claim of escalation to an account security team, which isn’t supported by the customer's messages; it lacks specific actionable guidance for the many issues raised.",success,
Zero-shot Groq,2405129,"Customer message 1: @AmazonHelp is there anyway that I can request not to use @115817 for delivery? An Amazon prime item has yet to be delivered, despite an arrival date of November 9. It was to be delivered yesterday, Monday, but still nothing.

Customer message 2: @AmazonHelp I have the number and am in contact with UPS. They had a re-delivery date of 11/13 and did not deliver. @115817 did not even know where the package was. Finally, they said it will be delivered 11/16.

Customer message 3: @AmazonHelp @115817 That’s one week after Amazon Prime. Very rude, nasty, aggressive agent from an access point called. I do not need t be told “you need to do this...”. I paid for an item. I used Amazon Prime. And the package is still out there, somewhere.

Customer message 4: @AmazonHelp @115817 Instead of @115817 telling me what I “need to do...”, they should deliver the package as per the reschedule order - yesterday, Monday, 11/13. But, no. They couldn’t find it this morning and I had to be patronized and chastised by a UPS agent.

Customer message 5: @AmazonHelp Yes, but it was ignored. The date was yesterday, Monday. I had to call @115817 and be subjected to a mini torture session. How about you not use them for deliveries. I am so stressed out.

Customer message 6: @AmazonHelp As soon as I compose myself, I will do so. Being told off by @115817 has me sitting here in tears. I used Amazon in good faith only to be told off by UPS that I need to do this and that. I’m three hours away from the delivery address.

Customer message 7: @AmazonHelp 6:05 p.m. on Tuesday, 11/14/17 and still no package delivered. @115817 really????????????? Rude agents. Aggressive agents. No delivery. Two big conglomerates and not one thing accomplished due UPS error. For shame.

Customer message 8: @AmazonHelp Holding with your customer service rep. Thank you.

Customer message 9: @AmazonHelp @542741 Hey Amazon my toe still hurts",We’re sorry for the delay and the frustration you’ve experienced. We’ve escalated your case to our delivery team and will keep you updated on the status of your package. Thank you for your patience.,2.0,2.0,3.0,2.0,"The reply is empathetic but overly generic; it lacks specific acknowledgment of the customer's request to avoid a particular UPS agent and provides no concrete next steps, reducing correctness and helpfulness.",success,
Zero-shot Groq,2308908,"Customer message 1: @117634 Please tell me why my Kindle keeps deleting my books &amp; comic books? Ever since the app changed, I've had this issue. @115821

Customer message 2: @AmazonHelp Nothing. She sounded clueless. Kept asking me the same thing over and over.

Customer message 3: @AmazonHelp Talking to ""Mau"" via Chat. 
I think this exchange is going to useless also.

Customer message 4: @AmazonHelp Yep, ""Mau"" is just giving me ""canned answers"". *sighs* In the 13 yrs I've been a customer, this is only my SECOND Customer Service experience and honestly, it's Terrible.","Hi, it sounds like the Kindle app update is causing your books to disappear. Please try clearing the app cache or reinstalling the app. If the problem persists, let us know and we’ll guide you through a deeper troubleshooting step.",4.0,4.0,4.0,4.0,"The reply is generally accurate, empathetic, and offers a practical next step without fabricating details.",success,
Zero-shot Groq,2420211,Customer message 1: @AmazonHelp 2nd order within a week that I am having a problem with. Product not delivered but marked as delivered. Cheaters!!! Paid order!,I’m sorry to hear that your order hasn’t arrived. I’ve escalated this issue to our delivery team so they can locate your package and resolve the situation as quickly as possible. You’ll receive an update shortly. Thank you for your patience.,4.0,4.0,5.0,3.0,"The reply is empathetic and professional, avoids invented details, and offers a reasonable next step, but could provide more specific guidance or options for the customer.",success,
Zero-shot Groq,2544936,"Customer message 1: @115830 
Apparently you tried to deliver a package to me at 4pm..If I wasn't in it was to be delivered to my neighbour.. Someone is telling pokies.","We’re sorry to hear the package wasn’t received. Please let us know if you have any delivery confirmation details, and we’ll investigate the delivery status for you.",4.0,4.0,4.0,3.0,"The reply is empathetic and avoids invented details, correctly addresses the issue, but is somewhat generic and could offer more specific next steps.",success,
Zero-shot Groq,311013,"Customer message 1: #KaroMilkeTayyari for superb discounts on superb brands at #AmazonGreatIndianFestival. Ready with your wish-lists? Hurry, only 3 days to go. https://t.co/tpghwNgeeu

Customer message 2: @115850 AMAZON IS MAKING DAMN FOOL OF ALL OF US! DON'T FALL IN THE STUPID OFFERS OF AMAZON! THESE GUYS ARE TAKING MONEY AND GIVING WORST EXPERIENCE!

Customer message 3: @190276 @115850 You are right, I am also facing issue with Amazon.their customer service taking too much time to solve any issue.

Customer message 4: @AmazonHelp I'm already in touch with customer service from 24th September, but till date they didn't provide any solution.

Customer message 5: @115850 #AmazonHaiTaiyyarToLootPeople #KarloMilkeTayyari to loot people ...
 You can be the next victim of this fraudulent organization. https://t.co/LpoKFWqDXH

Customer message 6: @AmazonHelp I have filled the details, please resolve the issue ASAP

Customer message 7: @AmazonHelp Any update on my issue?

Customer message 8: @AmazonHelp Thanks, I have received a message today that my product will be delivered by 6th September

Customer message 9: @AmazonHelp Yes, it is 6th October.

Customer message 10: @AmazonHelp Thanks, I have received the product.

Customer message 11: @115850 Customer service is not good enough. Am contacting you from 23 september.  But never get a good response

Customer message 12: @AmazonHelp Every time your team said the courier refund will initiate within 2-4 hours or 2-4 business days.  But from 15 dys i didn't get it.

Customer message 13: @AmazonHelp how many times i have to fill this type of forms

Customer message 14: @AmazonHelp you are telling in call we will refund your money within 2 days but no call till now

Customer message 15: @AmazonHelp ORDER # 403-7748261-3709940 id.
now you will get my information. n tell the date when will i get my money. dont make loop n hole in the loop

Customer message 16: @AmazonHelp better take your product and return my money.

Customer message 17: @AmazonHelp answer me when will i get my money back tell the date

Customer message 18: @AmazonHelp i think you have no answer
but you will cheat people

Customer message 19: @AmazonHelp when
tell the exact time and date when will get my refund and take your old and defective product back",Thank you for sharing your thoughts. We’re always working to improve our offers and customer experience.,1.0,1.0,2.0,1.0,"The reply is generic and does not address any specific complaints or provide actionable steps, making it poorly grounded, incorrect for the situation, and unhelpful.",success,
Zero-shot Groq,913798,"Customer message 1: @115830 why do i pay for prime if you do not deliver next day like you say you will?!

Customer message 2: @AmazonHelp I ordered 16th birthday present for sister on prime. It didnt arrive in time and now shr has nothing

Customer message 3: @AmazonHelp It says between now and the 26th. It was supposed to arrive yesterday

Customer message 4: @AmazonHelp Yes i have and they offered to extend my prime. Which is no good. I already pay and i didnt get the service

Customer message 5: @AmazonHelp The rivised date is unacceptable considering i ordered it specifically for the prime feature. It was a present

Customer message 6: @AmazonHelp Well thats not helpful. So i will end up with no present and embarressment for not giving one. Because amazon messed up. Bad service!

Customer message 7: @AmazonHelp Very disappointed. Sucb a  ad service and you actually charge me for it!

Customer message 8: @AmazonHelp Bad service*","We’re sorry your package didn’t arrive on time. Prime guarantees next‑day delivery only for eligible items and locations. Your order is still on its way and should arrive shortly. If you need further assistance, let us know.",4.0,4.0,4.0,2.0,The reply is factually accurate and empathetic but is too generic and does not address the customer's specific complaints or offer concrete next steps.,success,
Zero-shot Groq,351118,"Customer message 1: @134803 Non riesco ad accedere con il mio Amazon ... ""Si è verificato un problema! La tua password non è corretta. Ma è corretta! :(

Customer message 2: @AmazonHelp Tutto ok, Chrome compilava automaticamente con una password vecchia (sbagliata). 😁","Ciao! Prova a reimpostare la password tramite ""Password dimenticata"" sul sito Amazon. Se il problema persiste, contatta il supporto clienti per assistenza immediata.",2.0,2.0,4.0,2.0,"The reply suggests resetting the password despite the customer already identifying the cause (old saved password), so it adds unnecessary steps and lacks grounding in the actual issue, though the tone remains polite and professional.",success,
Zero-shot Groq,2301621,"Customer message 1: Just had an email to say Amazon Prime Now driver was unable to deliver our order at 17:38. Not surprised since at that time he was about 3 miles away. WT actual F? https://t.co/2RN9Bofb2a

Customer message 2: @AmazonHelp Yes, thank you. £5 credit and advised the driver isn’t picking up his phone. So I think we can see where the problem lies 🙂","We’re sorry the driver couldn’t complete the delivery. Please check the tracking link for the latest status, and if the package remains undelivered, let us know and we’ll help resolve it promptly.",2.0,2.0,3.0,2.0,"The reply is generic and does not acknowledge the £5 credit or the driver’s phone issue, missing key details from the customer's messages, reducing accuracy and usefulness despite a polite tone.",success,
Zero-shot Groq,1916230,"Customer message 1: @AmazonHelp Is there a way to put a delivery note on an account? We constantly have our packages left at the wrong door or in very bad spots

Customer message 2: @AmazonHelp Yesterday's was AMZL US. This was left next door. The houses are very clearly marked above the doors. https://t.co/lFD3gndaZ1

Customer message 3: @AmazonHelp Was home all day long yesterday, had to go searching at 8pm for it.

We've had a couple stolen/lost before im sure because of this.

Customer message 4: @AmazonHelp Done. Thanks","We’re sorry for the inconvenience. Please add a delivery note in your Amazon account under ""Your Orders"" → ""Add a delivery instruction"" so the carrier knows where to leave your package. If a package is still missing, let us know the order number and we’ll investigate further. Thank you for your patience.",3.0,3.0,4.0,3.0,"The response is empathetic and professional, but the instruction to add a delivery note under ""Your Orders"" is inaccurate; delivery instructions are set in the address book, so the answer is only partially grounded and correct.",success,
Zero-shot Groq,1273449,"Customer message 1: @amazonhelp Your email support for amazon Flex is horrible. I need help to get the money I worked for!!!! PLEASE HELP ME !

Customer message 2: @AmazonHelp Again with the generic responses. I submitted via the app but i am only getting prewritten respones back. I need a human to help me !!!

Customer message 3: @AmazonHelp Can you have a manger Call me ? This is ridiculous. You guys owe me money that I worked for. Do I have to file a lawsuit?",I’m sorry you’re experiencing this issue. I’ve escalated your case to our Amazon Flex payment team and they will contact you shortly to resolve the matter. Thank you for your patience.,2.0,2.0,4.0,2.0,"The reply is empathetic and professional in tone, but it invents an escalation without evidence and offers no concrete next steps, making it weak on groundedness, correctness, and usefulness.",success,
